,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Quoted Tweet,Reviewer,Review
45-76,3/30/2023 19:11:52,https://twitter.com/vrdnfl/status/1580882568408227841,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@vrdnfl,leo ! 🫀,“jag skulle kunna få vara fri. från det hār... från... jag skulle kunna få vara fri med dig.”,Anonymous,2021-02-11 09:22:17+00:00,227,235,Unidentified,“the peso is not weak because the peso is weak. the peso is weak because the dollar is strong.” ano daw💀💀,,Text,2022-10-14 11:25:50+00:00,,Emotional,0,1,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/arnoldpadilla/status/1579813013460496387,,
45-77,3/30/2023 19:13:33,https://twitter.com/hui4shu/status/1580877025220661248,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@hui4shu,ele,hannie's bff,Anonymous,2021-12-11 16:28:18+00:00,1199,1306,Philippines,saulo ko na yung the peso is not weak because the peso is weak the peso is weak because the dollar is strong,,Text,2022-10-14 11:03:48+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-78,3/30/2023 19:14:22,https://twitter.com/yawnjvun/status/1580876007120441344,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@yawnjvun,jiji,heart eyes for hyuka,Anonymous,2022-06-16 01:16:48+00:00,683,739,Philippines,The peso is not weak bc the peso is weak the peso is weak bc the dollar is strong,,Text,2022-10-14 10:59:46+00:00,,Rational,3,2,0,1,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-79,3/30/2023 19:18:08,https://twitter.com/gyuhoonist/status/1580802656783986689,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@gyuhoonist,reese,"#구훈 — on science, tea, and svt • fan acc",Anonymous,2017-09-17 17:23:33+00:00,3761,3842,Philippines,"nyenyenye magalit man kayo sakin the peso is not weak bc the peso is weak, the peso is weak bc the dollar is strong!",,Text,2022-10-14 06:08:17+00:00,,Emotional,2,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-80,3/30/2023 19:37:05,https://twitter.com/maetamongfairy/status/1580795890075213826,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@maetamongfairy,kat,"#hoony: let's protect it, WINNER forever.",Anonymous,2019-07-06 11:22:01+00:00,176,470,Philippines,peso is weak bc dollar is strong,,"Text,Quote",2022-10-14 05:41:24+00:00,,Rational,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-81,3/30/2023 19:44:09,https://twitter.com/eyesgonzales/status/1580733387173933056,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@eyesgonzales,Iris Gonzales,"reporter and columnist, @philippineStar EyesWideOpen (Tuesday/Thursday/Sunday) Iskolar Ng Bayan/Konrad Adenauer Fellow/Iceland Writers Alumna",Media,2009-05-25 10:16:15+00:00,2004,3613,Unidentified,My column today. #EyesWideOpen 'The peso is weak because  the dollar is strong’ https:// https://t.co/r0mijWWQFy,,"Text,URL",2022-10-14 01:33:02+00:00,,Rational,1,0,2,1,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-82,3/30/2023 19:48:17,https://twitter.com/monokjell/status/1580699808695996417,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@monokjell,keyjeyeleeleleeel 🦖🌸💕,arquitecto | la puta ama | ♑️,Identified,2010-07-08 11:24:32+00:00,274,193,Unidentified,The peso is not weak because the peso is weak. The peso is weak because the dollar is strong.,,"Text,Quote",2022-10-13 23:19:37+00:00,,Rational,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-83,3/30/2023 19:49:48,https://twitter.com/yuks_bio/status/1580695783921577984,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@yuks_bio,Yuk,,Anonymous,2022-04-27 17:23:03+00:00,31,0,Philippines,"Wait, is this about the Peso Weak/Dollar Strong? Also questioning his achievements, when in fact the Peso Weak/Dollar Strong statement was actually right too? You can't hate on something right, that's idiotic. Please explain what the tweet was talking about.",,"Text,Quote",2022-10-13 23:03:37+00:00,,Transactional,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/linyalinya/status/1580518599524986880,,
45-84,3/30/2023 19:52:48,https://twitter.com/its_nikanikz/status/1580561916464070661,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@its_nikanikz,ᜈᜒᜃ᜔ᜎᜒ,✊🏼 #AbanteBabae,Anonymous,2012-05-30 06:50:20+00:00,597,326,Unidentified,"We all know that the dollar is strong  and peso is weak. But are they doing anything to atleast combat the effects of the weakness of peso?

Yes we can't control such but we can control our own. All we want to see is for the gov to support the domestic economy.",,Text,2022-10-13 14:11:40+00:00,,Transactional,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-85,3/30/2023 19:55:22,https://twitter.com/Krazey88/status/1580546207142666240,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@Krazey88,Crazy88,,Anonymous,2013-05-31 16:45:27+00:00,600,400,Philippines,"Tell me the peso is weak without telling me the peso is weak.

Answer: The dollar is strong.",,Text,2022-10-13 13:09:15+00:00,,Rational,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/LeftPermanently/status/1580554802433470465,,
45-86,3/30/2023 19:57:06,https://twitter.com/ForbelleBryan/status/1580541558432014336,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@ForbelleBryan,Bryan Forbelle,,Identified,2021-10-23 16:26:43+00:00,133,10,Unidentified,"Peso is not weak
Because peso is weak
The peso is weak because
The dollar is strong
- cong. Sandro Marcos",,Text,2022-10-13 12:50:47+00:00,,Rational,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-87,3/30/2023 19:58:01,https://twitter.com/TwTngna/status/1580520422608867328,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@TwTngna,engr.zed,"👷🏼 engi-near
🎾 tennista",Anonymous,2022-07-18 13:24:45+00:00,126,98,Philippines,bakit naman ganyan Senator. the peso is not weak. the peso is weak because the dollar is strong. ganun yun,,"Text,Quote",2022-10-13 11:26:48+00:00,,Rational,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/kaindimew/status/1580519935905697792,,
45-88,3/30/2023 20:00:23,https://twitter.com/angelfajardomd/status/1580500763737935872,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@angelfajardomd,Angelica S. Fajardo,MD,Identified,2009-07-26 10:52:27+00:00,161,173,Unidentified,No! The peso is too weak because the dollar is too strong. 🤪,,"Text,Quote",2022-10-13 10:08:41+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-89,3/30/2023 20:01:01,https://twitter.com/_heraacles/status/1580499751875006465,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@_heraacles,Tea Back ⊰⊹ฺ,"🌸 she / her , '07 | dumpsite 🌺 mg",Anonymous,2020-07-17 08:34:44+00:00,224,22,Philippines,"the peso is not weak because the peso is weak, its because the dollar is strong 😍💪💪 https://t.co/KLAQPZdyuD",,"Text,Image",2022-10-13 10:04:39+00:00,,Rational,3,1,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/bookpoets/status/1580463648417361921,,
45-90,3/31/2023 0:06:17,https://twitter.com/monkeyboo96/status/1580491652820389888,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@monkeyboo96,mönkêy☆｡◕‿◕｡☆Bôö,,Anonymous,2009-10-06 15:03:22+00:00,861,1095,Philippines,Hindi weak ang peso ah. Strong lang ang dollar. Tandaan nyo yan 🤣,,"Text,Quote",2022-10-13 09:32:28+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-91,3/31/2023 0:21:02,https://twitter.com/apeofculture/status/1580488820276928512,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@apeofculture,아얘수 랄브,Ape of Culture,Anonymous,2021-08-11 06:07:59+00:00,116,50,Philippines,"Peso is weak because the dollar is strong, and dollar is strong because it's one of the safest currency in the world. So, here I am putting some savings in USDT (Tether) Stablecoin. Because I won't let my hard-earned money be beaten by this worldwide inflation. #Cryptocurency",,"Text,Quote",2022-10-13 09:21:13+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-92,3/31/2023 0:22:22,https://twitter.com/minkicart/status/1580485909534756864,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@minkicart,࣪ ˖ . nyx | Yunho Day!🦮,⌗ — ꒰ buying • selling • trading • rcbyt ꒱ for #민기 and #여상,Anonymous,2021-02-23 08:06:53+00:00,277,814,Philippines,I would like to make one thing clear... the peso is not weak because the peso is weak. The peso is weak because the dollar is strong,,"Text,Quote",2022-10-13 09:09:39+00:00,,Rational,2,1,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-93,3/31/2023 0:24:37,https://twitter.com/theyoungarif/status/1580475733004079105,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@theyoungarif,𝙰𝚁𝙸𝙵 ☄️,"It is never too late to be the person you want to be. INTJ-A; CPA, UP Law student. 📩DM for accounting/tax consult.",Identified,2009-09-27 07:12:45+00:00,270,636,Unidentified,The peso is not weak because the peso is weak. The peso is weak because the dollar is strong.,,"Text,Quote",2022-10-13 08:29:13+00:00,,Rational,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/ruminarist/status/1580382301589938177,,
45-94,3/31/2023 1:15:54,https://twitter.com/yuaniex/status/1580369991740043269,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@yuaniex,yuyu,reverie ִֶָ֪֢໑ᨒ,Anonymous,2021-08-30 09:39:47+00:00,71,42,Philippines,"""The peso is not weak because the peso is weak the peso is weak because the dollar is strong"" so simple dami kasing ebas",,Text,2022-10-13 01:29:02+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-95,3/31/2023 1:17:51,https://twitter.com/Arlie_rafy/status/1580339680360681472,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@Arlie_rafy,welcomingbreathe,🤡💀,Anonymous,2018-10-10 11:42:26+00:00,223,205,Unidentified,teacher pa naman kayo sa ecom tapos kayo pa yung di naka gets ng the peso is weak bcoz the dollar is strong. ano pa nga ba tatanda na kayo sa prvt school,,Text,2022-10-12 23:28:35+00:00,,Emotional,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-96,3/31/2023 1:55:42,https://twitter.com/ediza_artuz/status/1580301739604946944,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@ediza_artuz,ILOVEU brightV BBM PARIN forever more solid,i protect always BBM AND BBRIGHTVC✌✌✌✌✌✌,Anonymous,2022-10-08 01:58:19+00:00,483,58,Philippines,Sandro tama sa totoo.lng the peso is weak because the.dollor is strong ...kse nga di na kasalanan ng gobyerno un america rin kse nagpapataas nian para bumagsak.ang piso sino ba makikinabang ng pagtass ng dollar eh di ung mga nagaabroad ...saya nga nila kase nga mataas palitan ..,,Text,2022-10-12 20:57:49+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-97,3/31/2023 1:52:37,https://twitter.com/LoeyKyoong6104_/status/1580259291113529344,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@LoeyKyoong6104_,Cris 💛,✨He is a friend who thinks of me as if it's his own self✨ ex9,Anonymous,2015-01-30 08:46:46+00:00,578,465,Philippines,"The peso is not weak because the peso is weak, the peso is weak because the dollar is strong",,Text,2022-10-12 18:09:09+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-98,3/31/2023 1:50:31,https://twitter.com/lookonionskin/status/1580235597171822593,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@lookonionskin,For the Love of the Philippines,,Anonymous,2020-07-17 14:47:33+00:00,306,389,Unidentified,"I saw some people making fun of this statement, but what he said made sense. The peso is not weak because the peso is weak. The peso is weak because the dollar is strong! Pound to peso is still pretty much the same. It’s not weak, the dollar is just strong. 

Hang tough Sandro! https://t.co/PHcCRlMCEu",,"Text,Quote",2022-10-12 16:35:00+00:00,,Rational,0,0,0,1,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-99,3/31/2023 1:47:23,https://twitter.com/Dogglerr/status/1580228789145325574,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@Dogglerr,"binbins | RMT, MD, MSMT, RIP","𝚁𝙼𝚃 𝚊𝚗𝚍 𝙼𝙳 𝚠𝚊𝚗𝚗𝚊𝚋𝚎

𝚛𝚊𝚛𝚎𝚕𝚢 𝚞𝚜𝚎𝚍

cdu cams mt",Anonymous,2019-05-09 12:56:32+00:00,121,39,Philippines,"the peso is not weak because the peso is weak, the peso is weak because the dollar is strong",,"Text,Quote",2022-10-12 16:07:57+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-100,3/31/2023 1:45:17,https://twitter.com/Datangelopez/status/1580196283842990080,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@Datangelopez,CPA WANNABE,𓆩♡𓆪,Anonymous,2021-08-29 03:47:29+00:00,520,200,Philippines,I don't understand bakit ginagawang joke yung statement ni sandro na “Peso is weak because dollar is strong” ??? Is there something wrong with the fact he stated????,,Text,2022-10-12 13:58:47+00:00,,Rational,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-101,3/31/2023 1:43:29,https://twitter.com/allxgrc/status/1580175464139669505,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@allxgrc,taehyung's bread 🍞,jin,Anonymous,2016-05-27 12:12:36+00:00,145,125,Philippines,I would like to make one thing clear...the peso is not weak because the peso is weak. The peso is weak because the dollar is strong. 😔✌🏼❤️💚,,Text,2022-10-12 12:36:03+00:00,,Rational,2,1,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-102,3/31/2023 1:12:12,https://twitter.com/iamwhatiam300/status/1580090279562211328,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@iamwhatiam300,iamwhatiam,,Anonymous,2022-02-17 08:15:54+00:00,2629,3018,Philippines,"Sandro is not wrong, because he is wrong. Sandro is wrong because your brains are f*cked up &amp; don't understand simple english, math, &amp; econ.
For the stupid f*ckers out there, eat the data below!
The peso is not weak,coz the peso is weak. The peso is weak coz the dollar is strong. https://t.co/NUkjeku86E",,"Text,Image",2022-10-12 06:57:33+00:00,,Emotional,137,15,30,4,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-103,3/31/2023 1:42:12,https://twitter.com/ncollemartinez/status/1580058259808927744,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@ncollemartinez,nicolle,Atty M,Identified,2019-10-08 09:22:54+00:00,224,296,Philippines,"The peso is not weak because the peso is weak, the peso is weak because the dollar is strong",,Text,2022-10-12 04:50:19+00:00,,Rational,13,0,0,1,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-104,3/31/2023 1:13:23,https://twitter.com/outsidechamber/status/1579767770925142016,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@outsidechamber,no name,valar dohaeris,Anonymous,2021-07-03 07:30:40+00:00,61,114,Unidentified,"""The peso is not weak because the peso is weak. The peso is weak because the dollar is strong.""

Sobrang linaw pero hirap na hirap yung mga may indoctrinated braincell ni joma intindihin sinabi ni sandro.",,Text,2022-10-11 09:36:01+00:00,,Emotional,25,3,3,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-105,3/31/2023 0:43:38,https://twitter.com/ismamuzick08/status/1580155675560226816,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@ismamuzick08,#IamTitanium,/free-swinging/ludicrous and a player.... of music!,Anonymous,2009-12-07 03:15:29+00:00,195,233,Philippines,"I think nothing is wrong sa statement ni Sandro boy sa peso-dollar shit. Thing is, people in the opposition loves to romanticize trivial things to put someone in a bad light. In fact, mas ulaw pa ang UNSLEFLESS gani, in all aspects of interpretation",,Text,2022-10-12 11:17:25+00:00,,Rational,2,2,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-106,3/31/2023 0:40:12,https://twitter.com/ceeesssxyz/status/1580131917395275777,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@ceeesssxyz,c‘zii,🇵🇭❤️💚,Anonymous,2020-12-06 21:26:14+00:00,560,460,Unidentified,"yung mga totoong economista sang-ayon sa sinabi ni Sandro abt the peso vs dollar, pero yung mga feeling economista daming kuda hindi naman pala gets yung pinopoint out ng Congressman. Mag shut up nalang lage jud beh.",,Text,2022-10-12 09:43:01+00:00,,Emotional,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-107,3/31/2023 0:35:34,https://twitter.com/TaldoErcks/status/1580115214791749633,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@TaldoErcks,Taldo Ercks,I'm a nobody.  And I will disappear in this world like I didn't exist at all.,Anonymous,2022-02-20 14:46:21+00:00,462,387,Unidentified,"Tama si Sandro, kung yung Indian Rupee nga eh 82 compared to US dollar  samantalang dati halos pantay lang yung value sa Phil. Peso.  Yun ang ibig sabihin ni Sandro, strong lang talaga ang US dollar.  Di lang magets ng iba o sadyang nagtatangatangahan, para makapanira lang.",,Text,2022-10-12 08:36:38+00:00,,Rational,4,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-108,3/31/2023 0:33:07,https://twitter.com/ianmooneph/status/1580059289346981888,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@ianmooneph,Ian Moone,I am no one.,Identified,2020-05-09 02:06:13+00:00,310,272,Philippines,"Cong. Sandro's comment about Peso VS Dollar made sense- but seems a lot of people did not get it. Either that, or they didn't listen to the explanation and just read the ""headline"".",,Text,2022-10-12 04:54:25+00:00,,Rational,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-109,3/31/2023 0:29:29,https://twitter.com/haroldmlandicho/status/1580041118351179776,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@haroldmlandicho,Harold Landicho,,Identified,2012-11-02 09:33:27+00:00,301,491,Unidentified,"i don't like marcoses but what sandro said abt peso and dollar is true, kaya di ko magets yung reactions 😅",,Text,2022-10-12 03:42:13+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-110,3/31/2023 0:30:11,https://twitter.com/vibarjenn7116/status/1580033931071479812,45,"Narte, Jeric",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@vibarjenn7116,Jenn Vibar,,Identified,2022-05-12 20:59:46+00:00,159,101,Philippines,"Para sa mga lutang na walang humpay mag kritiko!

Yung iba kasi mga lutang di nila naintindihan sinasabi ni Sandro haist kaming mga ofw naintindihan nmin ibig sabihin nun 
Hindi talaga mahina ang peso
Mahina ang peso dahil nag taas ng halaga ng interest ang dollar!
Gets??? https://t.co/tjGJaL5ZUF",,"Text,Quote",2022-10-12 03:13:39+00:00,,Emotional,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
